model,power,prop_na,sample_size,cutpoints,beta_t,beta_tx,beta_t_tx,rand_intercept_sd,rand_slope_sd,n_sim,datetime
free_days78,0.05,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
free_days678,0.044,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
free_days5678,0.054,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
free_days45678,0.05,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
free_days345678,0.052,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
free_days2345678,0.054,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
ppo_3,0.054,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
ppo_7,0.05,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
ppo_14,0.054,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
ppo_21,0.04,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
ppo_28,0.06,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
cox_prop_state1,0.06,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
cox_spline2_state1,0.052,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
cox_prop_state12,0.06,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
cox_spline2_state12,0.056,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
cox_prop_state123,0.04,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
cox_spline2_state123,0.038,0,100,NA,-0.2,0,0,1e-5,1e-5,500,2024-10-29T20:51:33Z
otm,1,0,500,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T14:57:03Z
otm_rand_int,1,0,500,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T14:57:03Z
rand_int,1,0,500,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T14:57:03Z
free_days8,0.102,0,500,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T14:57:03Z
free_days78,0.446,0,500,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-31T14:57:03Z
